benchmarking,file,topic,description,started_at_time,ended_time,duration_secs,number_of_bytes
benchmarking,simulator_no_flask,read_image_from_disk,,1517237320.3578248,1517237320.3607945,0.0029697418212890625,-1
benchmarking,simulator_no_flask,image_binning,,1517237320.3609047,1517237320.3609073,2.6226043701171875e-06,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237320.360944,1517237320.4378142,0.07687020301818848,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237320.3578248,1517237320.4378695,0.08004474639892578,-1
benchmarking,simulator_no_flask,stream_file,,1517237320.438167,1517237320.4565358,0.01836872100830078,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237320.4667323,1517237320.470739,0.004006624221801758,-1
benchmarking,simulator_no_flask,image_binning,,1517237320.4707985,1517237320.4707997,1.1920928955078125e-06,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237320.470823,1517237320.5304,0.059576988220214844,-1
benchmarking,simulator_no_flask,prepare_image_bytes_method,,1517237320.4667323,1517237320.530445,0.06371283531188965,-1
benchmarking,simulator_no_flask,stream_file,,1517237320.530686,1517237320.5473726,0.016686677932739258,-1
benchmarking,simulator_no_flask,read_image_from_disk,,1517237320.5575345,1517237320.5607243,0.0031898021697998047,-1
benchmarking,simulator_no_flask,image_binning,,1517237320.5607991,1517237320.5608008,1.6689300537109375e-06,-1
benchmarking,simulator_no_flask,image_to_bytes,,1517237320.560833,1517237320.6347446,0.07391166687011719,-1
